job_title,company_name,posted_date,num_applications,job_modality,f_p_time,job_responsibility,job_skills,job_keyword,city,community_or_nation,country,annual_salary,offer_id
Data Analyst - Pharma Company,Grafton Recruitment,2024-03-09,77,Presencial,Jornada completa,Intermedio,"Análisis de datos, Capacidad de análisis y Inglés, Análisis de negocio, Elaboración de informes, Informes y análisis y Microsoft Dynamics NAV",Data Analyst,Madrid,Comunidad de Madrid,España,,91
Data Analyst (Oracle) @ Deutsche telekom (f/m),T-Systems Iberia,2024-03-12,17,Híbrido,Jornada completa,Intermedio,"Bases de datos y Python, Análisis estadístico, Aprendizaje personalizado, Big data, Competencias transversales, KNIME, Modelado de datos, Modelado de datos lógicos y Oracle Application Express",Data Analyst,Granada,Andalucía,España,,92
Business Intelligence Analyst,Ria Money Transfer,2024-03-12,184,Híbrido,Jornada completa,,"Analítica de datos, Comunicación y Resolución de problemas, Analítica, Comunicación escrita, Extraer, transformar y cargar (ETL), Informes y análisis, Pensamiento crítico, Presentaciones y Procedimientos de almacenado",Data Analyst,Alcobendas,Comunidad de Madrid,España,,93
Senior Data Analyst – Business Intelligence,Radisson Hotel Group,2024-03-12,7,Híbrido,Jornada completa,Senior,"Visualización de datos, Analítica, Arquitectura de datos, Calidad de datos, Contabilidad exigida por ley, Datos maestros, Gestión de datos, Pensamiento crítico, Perfiles de datos y SAP CRM",Data Analyst,Madrid,Comunidad de Madrid,España,,94
Multilingual Data Analyst Intern,Morningstar,2023-07-13,1138,,,Junior,,Data Analyst,Madrid,Comunidad de Madrid,España,,95
Business Data Senior Analyst (12 Months Maternity Cover),Amadeus,2024-03-06,23,Híbrido,,Senior,"Analítica de datos, Bases de datos, Ciencia de datos, Visualización y Visualización de datos, Analítica, Calidad de datos, Gestión de datos, Panel de control y Qlik Sense",Data Analyst,Madrid,Comunidad de Madrid,España,,96
Analista de datos,LLYC,2023-10-13,669,Híbrido,Jornada completa,Junior,,Data Analyst,Madrid,Comunidad de Madrid,España,,97
Consultor Senior BI,LHH,2024-03-06,18,,,Senior,"Bases de datos y Inglés, Almacenamiento de datos, Inteligencia empresarial, Liderazgo de equipos, MicroStrategy, Modelado de datos, Negociación, Panel de control y Procesamiento analítico en línea (OLAP)",Data Analyst,Barcelona,Cataluña,España,,98
BI Analyst,LLYC,2023-06-13,677,Híbrido,Jornada completa,Intermedio,"Bases de datos, Ciencia de datos y Visualización de datos, Analítica, Extraer, transformar y cargar (ETL), Google Analytics, Google BigQuery, Indicadores clave de desempeño, Modelado de datos y Panel de control",Data Analyst,Madrid,Comunidad de Madrid,España,,99
BI Data Analyst,Capgemini Engineering,2024-02-13,974,Híbrido,Jornada completa,Intermedio,"Analítica de datos, Bases de datos, Capacidad de análisis, SQL y Visualización de datos, Almacenamiento de datos, Expresiones de análisis de datos (DAX), Inteligencia empresarial, Modelado de datos y Panel de control",Data Analyst,Madrid,Comunidad de Madrid,España,,100
